xs,ys,Es,nXs,nYs
-6.8401064,-8.2459652,9.7262746,6,6
10.903019,2.9912197,9.3724941,5,5
-17.164062,-25.06225,2.8398666,4,4
-15.611225,20.055753,6.5241465,3,4
-6.220355,0.63821638,2.2485438,4,3
-23.428841,21.571393,4.8400781,4,4
-22.442729,14.505189,1.737014,4,3
-3.0667424,-17.742593,1.3797538,3,2
-22.473314,21.550138,1.8660635,3,3
-0.97527542,22.236719,1.5828179,3,3
15.112831,23.876361,2.717709,4,4
12.69354,22.41574,6.2651838,4,4
-9.2036755,-22.647713,3.044311,6,3
-18.294751,-6.1490078,8.5153591,3,4
12.452303,-18.42241,1.404504,3,2
15.359986,-17.076188,3.6853008,4,4
22.425773,-8.4714695,1.2275666,2,3
-20.295157,15.480765,9.3388294,6,5
23.65088,11.144416,1.3050023,3,3
4.321542,18.460754,2.2171946,4,4
-23.049966,18.475049,1.6939796,3,4
11.214295,-17.633421,9.1453488,4,4
21.067207,22.653891,8.7753202,5,6
-9.9037592,3.5487925,8.7819693,5,5
-9.2532232,21.69159,2.1127572,4,3
-19.981645,20.893225,2.8772621,5,4
10.811975,-17.363642,7.8112144,4,5
-22.966453,-10.136499,2.2224807,3,4
-16.57942,22.628904,4.4567522,5,4
19.927407,18.682745,1.3207906,3,2
-24.182605,-22.414048,3.5422387,3,4
-21.078083,-24.545109,3.243645,4,4
5.3985973,23.254733,2.3427094,3,4
21.288199,13.769212,3.1559082,4,3
16.686455,-20.965785,1.1920243,3,3
0.0088951998,-23.05001,1.3498597,3,2
5.1981274,20.812152,3.9261687,4,5
-1.4575518,-19.813905,2.1659104,3,3
5.6574932,-20.355919,3.5419744,4,5
-22.537783,-1.3425738,2.9610891,4,5
20.286105,-13.104855,2.7784871,4,4
-5.8837421,14.142411,3.0390857,5,5
-17.48254,20.575055,4.2295406,5,5
16.230141,10.917504,5.1240753,3,4
6.0200637,1.5354299,9.3952697,5,5
1.653043,1.6224091,8.1765207,6,5
1.5608324,9.2949284,8.1082266,5,4
-19.020376,24.077308,5.1343411,3,5
-16.5068,9.0839675,10.828207,5,6
-21.949387,-22.985598,4.7898768,5,5
7.918986,23.105494,1.4785863,3,3
-9.9162916,17.078592,4.1443604,5,5
25.408238,-6.9625001,4.0803096,5,4
-0.083173194,-21.846692,2.1047997,4,3
-19.76386,-17.884184,2.520269,3,3
-20.743633,13.81644,5.1006401,4,4
13.532664,-23.313322,5.2510779,3,3
-19.048343,-22.189406,2.5080346,3,4
-21.603904,-22.122822,2.334963,3,4
20.826072,-19.399895,1.8305634,3,3
-11.48509,21.568092,1.3823894,3,2
-23.543406,-17.877954,1.3953124,3,2
12.949552,17.363418,2.5223078,3,4
12.805326,23.740024,4.0486251,5,5
-3.9790536,-5.1770481,8.676456,5,6
24.544152,3.7452257,1.5401373,2,3
5.4358781,4.6016603,5.9563656,7,7
3.6145981,-3.998205,8.2618245,4,4
-9.0139672,-1.7481606,2.2333934,3,3
9.8099905,10.518804,8.0628528,8,9
-7.0291575,-9.4288189,8.1660439,7,6
15.85661,8.1759047,0.56223787,2,2
-15.821865,5.3649836,11.291793,4,4
-6.6118368,-6.0276109,6.8973424,8,6
