x	y	z	zMean
21.55	27.875	1	0.010416667
21.55	27.975	4	0.041666667
21.55	28.075	6	0.0625
21.55	28.175	11	0.11458333
21.55	28.275	18	0.1875
21.55	28.375	32	0.33333333
21.55	28.475	44	0.45833333
21.55	28.575	64	0.66666667
21.55	28.675	67	0.69791667
21.55	28.775	80	0.83333333
21.55	28.875	95	0.98958333
21.55	28.975	105	1.09375
21.55	29.075	148	1.5416667
21.55	29.175	168	1.75
21.55	29.275	150	1.5625
21.55	29.375	129	1.34375
21.55	29.475	189	1.96875
21.55	29.575	148	1.5416667
21.55	29.675	145	1.5104167
21.55	29.775	166	1.7291667
21.55	29.875	194	2.0208333
21.55	29.975	168	1.75
21.55	30.075	190	1.9791667
21.55	30.175	176	1.8333333
21.55	30.275	199	2.0729167
21.55	30.375	160	1.6666667
21.55	30.475	144	1.5
21.55	30.575	142	1.4791667
21.55	30.675	143	1.4895833
21.55	30.775	131	1.3645833
21.55	30.875	142	1.4791667
21.55	30.975	135	1.40625
21.55	31.075	122	1.2708333
21.55	31.175	108	1.125
21.55	31.275	149	1.5520833
21.55	31.375	143	1.4895833
21.55	31.475	146	1.5208333
21.55	31.575	147	1.53125
21.55	31.675	160	1.6666667
21.55	31.775	187	1.9479167
21.55	31.875	194	2.0208333
21.55	31.975	153	1.59375
21.55	32.075	151	1.5729167
21.55	32.175	169	1.7604167
21.55	32.275	148	1.5416667
21.55	32.375	133	1.3854167
21.55	32.475	132	1.375
21.55	32.575	132	1.375
21.55	32.675	124	1.2916667
21.55	32.775	122	1.2708333
21.55	32.875	110	1.1458333
21.55	32.975	105	1.09375
21.55	33.075	83	0.86458333
21.55	33.175	75	0.78125
21.55	33.275	48	0.5
21.55	33.375	46	0.47916667
21.55	33.475	20	0.20833333
21.55	33.575	27	0.28125
21.55	33.675	24	0.25
21.55	33.775	13	0.13541667
21.55	33.875	11	0.11458333
21.55	33.975	4	0.041666667
21.55	34.075	1	0.010416667
21.55	34.175	1	0.010416667
21.55	34.275	1	0.010416667
21.55	34.375	0	0
21.55	34.475	0	0
21.55	34.575	0	0
21.55	34.675	0	0
21.55	34.775	0	0
21.55	34.875	0	0
21.55	34.975	0	0
21.55	35.075	0	0
21.55	35.175	0	0
21.55	35.275	0	0
21.55	35.375	0	0
21.55	35.475	0	0
21.55	35.575	0	0
21.55	35.675	0	0
21.55	35.775	0	0
21.55	35.875	0	0
21.55	35.975	0	0
21.55	36.075	0	0
21.55	36.175	0	0
21.55	36.275	0	0
21.55	36.375	0	0
21.55	36.475	0	0
21.55	36.575	0	0
21.55	36.675	0	0
21.55	36.775	0	0
21.55	36.875	0	0
21.55	36.975	0	0
21.55	37.075	0	0
21.55	37.175	0	0
21.55	37.275	0	0
21.55	37.375	0	0
21.55	37.475	0	0
21.55	37.575	0	0
21.55	37.675	0	0
21.55	37.775	0	0
21.55	37.875	0	0
21.55	37.975	0	0
21.55	38.075	0	0
21.55	38.175	0	0
21.55	38.275	0	0
21.55	38.375	0	0
21.55	38.475	0	0
21.55	38.575	0	0
21.55	38.675	0	0
21.55	38.775	0	0
21.55	38.875	0	0
21.55	38.975	0	0
21.55	39.075	0	0
21.55	39.175	0	0
21.55	39.275	0	0
21.55	39.375	0	0
21.55	39.475	0	0
21.55	39.575	0	0
21.55	39.675	0	0
21.55	39.775	0	0
21.55	39.875	0	0
21.55	39.975	0	0
21.65	20.075	0	0
21.65	20.175	0	0
21.65	20.275	0	0
21.65	20.375	0	0
21.65	20.475	0	0
21.65	20.575	0	0
21.65	20.675	0	0
21.65	20.775	0	0
21.65	20.875	0	0
21.65	20.975	0	0
21.65	21.075	0	0
21.65	21.175	0	0
21.65	21.275	0	0
21.65	21.375	0	0
21.65	21.475	0	0
21.65	21.575	0	0
21.65	21.675	0	0
21.65	21.775	0	0
21.65	21.875	0	0
21.65	21.975	0	0
21.65	22.075	0	0
21.65	22.175	0	0
21.65	22.275	0	0
21.65	22.375	0	0
21.65	22.475	0	0
21.65	22.575	0	0
21.65	22.675	0	0
21.65	22.775	0	0
21.65	22.875	0	0
21.65	22.975	0	0
21.65	23.075	0	0
21.65	23.175	0	0
21.65	23.275	0	0
21.65	23.375	0	0
21.65	23.475	0	0
21.65	23.575	0	0
21.65	23.675	0	0
21.65	23.775	0	0
21.65	23.875	0	0
21.65	23.975	0	0
21.65	24.075	0	0
21.65	24.175	0	0
21.65	24.275	0	0
21.65	24.375	0	0
21.65	24.475	0	0
21.65	24.575	0	0
21.65	24.675	0	0
21.65	24.775	0	0
21.65	24.875	0	0
